FirstName,LastName,Website,Size,Medium,Title,imgWidth,imgHeight,photo,price,AWARD
Ruth Petersen,Shorer,https://www.instagram.com/ruthps_arts,20x16,Oil on Glass Layers with Epoxy,Transition,1536,1920,43162-transition-12520201736-6148.jpg,$900,
R. A.,Smoller,https://rasmollerart.com,36x24,Digital Painting on Canvas,Royal Pain,1280,1920,43162-royal_pain-2520201322-89887.jpg,$950,
Natalie,Smythe,https://www.californiaartleague.org/Sys/PublicProfile/7356589/1328698,15x11,Transparent Watercolor,Time For An Attitude Change,1508,1920,43162-time_for_an_attitude_change-22820201952-8328.jpg,,
Randy,Sprout,https://www.randysprout.net/,20x20,Acrylic,Ferndell Creek,1920,1897,43162-ferndell_creek-22620201154-2557.jpg,"$1,200",
Randy,Sprout,https://www.randysprout.net/,8x10,Soft Pastel,Procida Fishing Boats,1920,1608,43162-procida_fishing_boats-22620201155-2557.jpg,$350,
Barbara,Tabachnick,http://www.csun.edu/~vcpsybxt/Art.html,13x18,Etchings,Around the World,1920,1389,43162-around_the_world-22420201049-10972.jpg,$500,
Barbara,Tabachnick,http://www.csun.edu/~vcpsybxt/Art.html,10x8,Photography,Bilbao,1536,1920,43162-bilboa-22420201050-10972.jpg,$225,
Barbara,Tabachnick,http://www.csun.edu/~vcpsybxt/Art.html,8x10,Digital Art,Philippe the Original,1920,1536,43162-philippe_the_original-22420201053-10972.jpg,$225,
Alexandra,Tarakanov,https://www.californiaartleague.org/Sys/PublicProfile/7356625/1328698,18x24,Oil,Sun Wind Light,1920,1446,43162-sun_wind_light-3120202325-91288.jpg,$850,
Jane,Thorpe,https://www.californiaartleague.org/Sys/PublicProfile/10165555/1328698,14x18,Oil,Grandview Juniper,1920,1501,43162-grandview_juniper-22920201315-5363.jpg,$850,
Jane,Thorpe,https://www.californiaartleague.org/Sys/PublicProfile/10165555/1328698,20x24,Oil,Shake It Up!,1920,1585,43162-shake_it_up_-22920201319-5363.jpg,"$1,750",
Lewis,Wakeland,http://www.lewiswakeland.com,16x20,Acrylic,A place of change,1920,1536,43162-a_place_of_change-22420202013-91218.jpg,$500,
Lewis,Wakeland,http://www.lewiswakeland.com,16x20,Acrylic,A windy fall day,1920,1536,43162-a_windy_fall_day_-22420202016-91218.jpg,$500,
Nancy,Whitlock,https://www.californiaartleague.org/Sys/PublicProfile/32403819/1328698,12x12,Photography,If It Still Works - Why Change?,1920,1920,43162-if_it_still_works_-_why_change_-312020115-20021.jpg,$150,
Nancy,Whitlock,https://www.californiaartleague.org/Sys/PublicProfile/32403819/1328698,9x12,Watercolor,Il mattino di Napoli,1920,1339,43162-il_mattino_di_napoli-3120201055-20021.jpg,$220,
Michael,Wicks,http://www.MichaelWicksArt.com,20x60,Photography,African Recession,1920,537,43162-african_recession-1220201240-30210.jpg,"$1,200",
Michael,Wicks,http://www.MichaelWicksArt.com,16x24,Acrylic,Erosion,1920,1266,43162-erosion-1220201233-30210.jpg,$400,
Janet,Yoo,https://www.etsy.com/shop/VisionPaintingCo,24x18,Acrylic,Whimsical,1920,1435,43162-whimsical-21920201127-18021.jpg,$250,
Setsuko,Yoshida,https://www.ussetsuko.com,20x26,Watercolor,Formation No.1,1920,1441,43162--22820201322-48764.jpg,$800,
Setsuko,Yoshida,https://www.ussetsuko.com,20x26,Watercolor,Formation N0. 2,1920,1476,43162-formation_n0._2-22820201324-48764.jpg,$800,
